league,season,game,minute,player,team,xG,PSxG,outcome,distance,body_part,notes,SCA 1,SCA 1,SCA 2,SCA 2
,,,,,,,,,,,,player,event,player,event
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,6,Carles Pérez,Getafe,0.02,0.0,Off Target,22,Left Foot,,Carles Pérez,Take-On,Alex Sola,Pass (Live)
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,22,Omar Alderete,Getafe,0.03,0.0,Blocked,12,Head,,Carles Pérez,Pass (Dead),,Fouled
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,27,Oihan Sancet,Athletic Club,0.05,0.21,Goal,26,Right Foot,,Gorka Guruzeta,Pass (Live),Yeray Álvarez,Pass (Live)
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,40,Carles Pérez,Getafe,0.03,0.0,Off Target,32,Left Foot,,Carles Pérez,Pass (Live),,
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,45+8,Iñaki Williams,Athletic Club,0.04,0.0,Off Target,20,Left Foot,,Beñat Prados,Pass (Live),,
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,48,Peter González,Getafe,0.17,0.0,Woodwork,13,Left Foot,,Omar Alderete,Pass (Dead),Carles Aleñá,Fouled
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,52,Carles Aleñá,Getafe,0.51,0.34,Saved,12,Left Foot,,Omar Alderete,Pass (Live),Diego Rico,Pass (Dead)
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,54,Omar Alderete,Getafe,0.01,0.0,Blocked,8,Left Foot,Volley,Luis Milla,Pass (Dead),,
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,62,Alex Sola,Getafe,0.01,0.0,Off Target,33,Right Foot,Volley,Luis Milla,Fouled,Alex Sola,Pass (Live)
ESP-La Liga,2425,2024-08-15 Athletic Club-Getafe,64,Christantus Uche,Getafe,0.05,0.65,Goal,10,Head,,Luis Milla,Pass (Dead),Iglesias,Pass (Dead)
